imageId;sourceFilename;visualName;blingId;sku;productName;price;stock;desiredFileName;status;action;notes;sourcePath
B2-IMG001;ChatGPT Image 30 de jun. de 2026, 20_45_31 (2).png;Roleta Kamasutra / Roleta Sexy;16543909026;3104000001682;ROLETA SEXY;24;10;roleta-sexy-3104000001682.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Roleta Kamasutra; Bling possui ROLETA SEXY.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_45_31 (2).png
B2-IMG002;ChatGPT Image 30 de jun. de 2026, 20_45_50.png;Jogo Duelo do Prazer - fundo vermelho;16653024561;3104000004391;JOGO DUELO DO PRAZER SEXY;12;36;jogo-duelo-do-prazer-sexy-3104000004391.jpg;DUPLICADO_REVISAR;NAO_APLICAR_SEM_ESCOLHER_IMAGEM_PRINCIPAL;Mesmo produto tambem aparece em B2-IMG004.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_45_50.png
B2-IMG003;ChatGPT Image 30 de jun. de 2026, 20_46_07.png;Duelo de Casal;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei produto Bling exato para Duelo de Casal.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_46_07.png
B2-IMG004;ChatGPT Image 30 de jun. de 2026, 20_46_24.png;Jogo Duelo do Prazer - fundo preto;16653024561;3104000004391;JOGO DUELO DO PRAZER SEXY;12;36;jogo-duelo-do-prazer-sexy-3104000004391.jpg;CANDIDATO_PRINCIPAL_DUPLICADO;PODE_APLICAR_SE_ESCOLHIDO;"Imagem alternativa do mesmo produto B2-IMG002; visual mais escuro e produto bem centralizado.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 30 de jun. de 2026, 20_46_24.png
B2-IMG005;ChatGPT Image 1 de jul. de 2026, 12_14_15 (4).png;Forsexy Hot Caramelo 30ml;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei gel Forsexy Hot Caramelo na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_15 (4).png
B2-IMG006;ChatGPT Image 1 de jul. de 2026, 12_14_15 (3).png;Forsexy Black Ice 30ml;16666181276;3104000004719;HOT ICE GEL;12;3;hot-ice-gel-3104000004719.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Black Ice; Bling tem HOT ICE GEL.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_15 (3).png
B2-IMG007;ChatGPT Image 1 de jul. de 2026, 12_14_16 (5).png;Forsexy Hot Leite Condensado 30ml;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei gel Hot Leite Condensado na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_16 (5).png
B2-IMG008;ChatGPT Image 1 de jul. de 2026, 12_14_13 (1).png;Prudence Intima Lencos Umedecidos;16652979695;3104000004386;LENÇO UMEDECIDO INTIMO;17;10;lenco-umedecido-intimo-3104000004386.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;"Imagem mostra Prudence intima lenços umedecidos; Bling possui item generico de lenço umedecido intimo.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_13 (1).png
B2-IMG009;ChatGPT Image 1 de jul. de 2026, 12_14_14 (2).png;Sexy Balls Triplo Action;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei Sexy Balls na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_14_14 (2).png
B2-IMG010;ChatGPT Image 1 de jul. de 2026, 12_23_37 (1).png;Algema de Pelucia Luxo Preta - imagem 1;16666339674;3104000004739;ALGEMA PRETA VELUDO;17;5;algema-preta-veludo-3104000004739.jpg;DUPLICADO_REVISAR;NAO_APLICAR_SEM_ESCOLHER_IMAGEM_PRINCIPAL;Mesmo produto tambem aparece em B2-IMG016.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_37 (1).png
B2-IMG011;ChatGPT Image 1 de jul. de 2026, 12_23_37 (2).png;Algemas Metalicas Classicas Prata;16666340000;3104000004740;ALGEMA PRATA TRADICIONAL;12;0;algema-prata-tradicional-3104000004740.jpg;ENCONTRADO_ALTA_CONFIANCA_SEM_ESTOQUE;PODE_APLICAR_APOS_CONFIRMACAO;Produto sem estoque, mas correspondencia visual forte.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_37 (2).png
B2-IMG012;ChatGPT Image 1 de jul. de 2026, 12_23_39 (3).png;Algema de Pelucia Vermelha;16666339520;3104000004738;ALGEMA VERMELHA VELUDO;17;5;algema-vermelha-veludo-3104000004738.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;Cor e modelo batem.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_39 (3).png
B2-IMG013;ChatGPT Image 1 de jul. de 2026, 12_23_40 (4).png;Algema de Pelucia Animal Print / Onca;16666338734;3104000004735;ALGEMA ONÇA VELUDO;17;10;algema-onca-veludo-3104000004735.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;Cor/modelo onça batem.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_40 (4).png
B2-IMG014;ChatGPT Image 1 de jul. de 2026, 12_23_41 (5).png;Algema de Pelucia Branca;16666339307;3104000004737;ALGEMA BRANCA VELUDO;17;2;algema-branca-veludo-3104000004737.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;Cor e modelo batem.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_23_41 (5).png
B2-IMG015;ChatGPT Image 1 de jul. de 2026, 12_31_37 (1).png;Algema de Pelucia Rosa;16666339092;3104000004736;ALGEMA ROSA VELUDO;17;3;algema-rosa-veludo-3104000004736.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;Cor e modelo batem.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_37 (1).png
B2-IMG016;ChatGPT Image 1 de jul. de 2026, 12_31_38 (2).png;Algema de Pelucia Preta - imagem 2;16666339674;3104000004739;ALGEMA PRETA VELUDO;17;5;algema-preta-veludo-3104000004739.jpg;CANDIDATO_PRINCIPAL_DUPLICADO;PODE_APLICAR_SE_ESCOLHIDO;"Imagem alternativa do mesmo produto B2-IMG010; visual premium vertical.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_38 (2).png
B2-IMG017;ChatGPT Image 1 de jul. de 2026, 12_31_38 (3).png;Sensuale Caneta Sensual;16516510904;3104000000812;CANETA COMESTIVEL SEXY;12;7;caneta-comestivel-sexy-3104000000812.jpg;ENCONTRADO_MEDIA_CONFIANCA;REVISAR_ANTES_DE_APLICAR;"Imagem mostra caneta sensual; Bling possui CANETA COMESTIVEL SEXY, mas marca/nome nao sao identicos.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_38 (3).png
B2-IMG018;ChatGPT Image 1 de jul. de 2026, 12_31_39 (4).png;Jogo da Seducao Sexy;16543533646;3104000001671;JOGO DE SEDUCÃO SEXY;36;10;jogo-de-seducao-sexy-3104000001671.jpg;ENCONTRADO_ALTA_CONFIANCA;PODE_APLICAR_APOS_CONFIRMACAO;Nome visual bate com Bling.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_39 (4).png
B2-IMG019;ChatGPT Image 1 de jul. de 2026, 12_31_58 (1).png;Prendedores Sensuais com Glizos Rosa;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei produto adulto de prendedores/glizos na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_58 (1).png
B2-IMG020;ChatGPT Image 1 de jul. de 2026, 12_31_59 (2).png;Tapa-Seios em X Preto com Glitter;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;Ha varias imagens de tapa-seios e poucos produtos genericos na Bling.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_31_59 (2).png
B2-IMG021;ChatGPT Image 1 de jul. de 2026, 12_32_01 (3).png;Tapa-Seios em X Prata com Glitter;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Variação prata em X; produto Bling nao informa cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_32_01 (3).png
B2-IMG022;ChatGPT Image 1 de jul. de 2026, 12_32_02 (4).png;Tapa-Seios Coracao com Paetes;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Variação coração com paetês; produto Bling nao informa cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_32_02 (4).png
B2-IMG023;ChatGPT Image 1 de jul. de 2026, 12_32_03 (5).png;Tapa-Seios em X Vermelho;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Variação vermelha em X; produto Bling nao informa cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 12_32_03 (5).png
B2-IMG024;ChatGPT Image 1 de jul. de 2026, 13_08_04 (1).png;Tapa-Seios Coracao Preto;16543926929;3104000001688;TAPA MAMILO SEXY;12;21;tapa-mamilo-sexy-3104000001688.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Candidato ao produto generico TAPA MAMILO SEXY; precisa confirmar cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 13_08_04 (1).png
B2-IMG025;ChatGPT Image 1 de jul. de 2026, 13_08_04 (2).png;Tapa-Seios Coracao com Glitter Preto;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Variação preta com glitter; produto Bling nao informa cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 13_08_04 (2).png
B2-IMG026;ChatGPT Image 1 de jul. de 2026, 13_08_04 (3).png;Tapa-Seios Coracao com Glitter Vermelho;16653274018;3104000004402;TAPA MAMILO PREMIUM SEXY;24;4;tapa-mamilo-premium-sexy-3104000004402.jpg;PENDENTE_VARIACAO_TAPA_SEIOS;NAO_APLICAR_SEM_ESCOLHER_VARIACAO;"Variação vermelha com glitter; produto Bling nao informa cor/formato.";C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 13_08_04 (3).png
B2-IMG027;ChatGPT Image 1 de jul. de 2026, 13_08_04 (4).png;Prendedores Sensuais com Glizos Vermelhos;;;;;;;PENDENTE_SEM_PRODUTO_EXATO;NAO_APLICAR;Nao encontrei produto adulto de prendedores/glizos na Bling local.;C:\Users\bruno\Downloads\produtodos atualizados 2\ChatGPT Image 1 de jul. de 2026, 13_08_04 (4).png